哦呀？\n{STRVAR 1,0}拿着什么东西……\r要收下它拿着的东西吗？{YESNO 0}
{STRVAR 1,0}找到了什么\n似乎很开心！
！！\n它很喜欢这东西，不肯放手！
{STRVAR 1,0}开心地\n交了出来！
……　……　……\n哦呀？\r{STRVAR 1,0}拿着\n不可思议的闪光树叶……
对着这边\n喃喃自语。
{STRVAR 1,0}\n发出了奇怪的声音……
{STRVAR 1,0}好像要说\n什么一样发出呻吟。
从里面\n好像传来了什么声音！
{STRVAR 1,0}好不容易\n才刚要忘掉带着的\f{STRVAR 8,4}！
{STRVAR 1,0}戳了戳\n{STRVAR 3,2}！\f要戳回去吗？{YESNO 0}
{STRVAR 1,0}对周围的\n事物很上火……
{STRVAR 1,0}紧紧地\n贴在了脚上。
{STRVAR 1,0}\n突然就生气了！
{STRVAR 1,0}\n突然大吃一惊！
{STRVAR 1,0}不知怎么\n垂头丧气的……
{STRVAR 1,0}\n不知道叼着什么看着这边，\f要把那东西拿出来吗？{YESNO 0}
{STRVAR 1,0}\n感觉很冷，一个劲地蹭！
{STRVAR 1,0}\n非常开心！
{STRVAR 1,0}\n稍微有点发呆！
{STRVAR 1,0}\n很开心地戳来戳去！
{STRVAR 1,0}　\n不知怎么很开心！
{STRVAR 1,0}\n非常兴奋！
{STRVAR 1,0}\n小跳了一下！
{STRVAR 1,0}\n非常开心！
{STRVAR 1,0}\n不知怎么很紧张……\f要跟它说说话吗？{YESNO 0}
{STRVAR 1,0}吓了一跳\n放弃了恶作剧！
{STRVAR 1,0}\n戳了一下！\f陪陪它吧？{YESNO 0}
{STRVAR 1,0}\n对周围的事物很有兴趣！
{STRVAR 1,0}\n似乎非常满足！
{STRVAR 1,0}往旁边看了看\n突然撞了上去！
{STRVAR 1,0}看着这边，\n似乎是很想玩……\f稍微陪陪它吧？{YESNO 0}
{STRVAR 1,0}\n突然放下了身子！\f要注意一下吗？{YESNO 0}
{STRVAR 1,0}\n不知怎么迷迷糊糊的……\f叫叫它名字看吧？{YESNO 0}
{STRVAR 1,0}\n吓得没回过神来。
{STRVAR 1,0}在草丛里\n滚来滚去，身上都是叶子！\f帮它把树叶摘下来吗？{YESNO 0}
{STRVAR 1,0}\n突然冲上来戳了一下！\f稍微陪它玩玩吧？{YESNO 0}
{STRVAR 1,0}\n盯着这边看……\f要叫叫它吗？{YESNO 0}
{STRVAR 1,0}\n已经去前面了！
{STRVAR 1,0}\n突然伸出了前爪！\f稍微陪它玩玩吧？{YESNO 0}
{STRVAR 1,0}不安地\n环顾四周。\f要叫叫它看吗？{YESNO 0}
{STRVAR 1,0}\n在发呆……\f要叫叫它看吗？{YESNO 0}
{STRVAR 1,0}\n似乎想回研究所。
{STRVAR 1,0}\n突然开始摩擦双脚！
{STRVAR 1,0}\n在咬鞋子！\f要警告一下吗？{YESNO 0}
{STRVAR 1,0}的叶子\n有些无精打采地下垂。
{STRVAR 1,0}的脸\n变红了！
{STRVAR 1,0}要动一下\n身子似乎也很难！
